label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
tank top,242,169,160,234,p46.jpg,634,1024
slacks,90,397,408,559,p46.jpg,634,1024
hand bag,116,555,169,218,p46.jpg,634,1024
heels,395,902,132,96,p46.jpg,634,1024
heels,105,882,115,58,p46.jpg,634,1024
dress,415,326,349,805,p47.jpg,1200,2000
dress,495,1660,102,288,p47.jpg,1200,2000
dress,680,1707,205,288,p47.jpg,1200,2000
heels,177,717,73,105,p48.jpg,600,900
heels,322,758,82,116,p48.jpg,600,900
dress,180,295,347,556,p49.jpeg,768,1152
heels,341,993,116,124,p49.jpeg,768,1152
bucket hat,206,113,204,153,p49.jpeg,768,1152
sweater,38,9,253,273,p5.jpg,541,360
jacket,242,358,508,854,p50.jpg,980,1470
dress,403,325,167,563,p50.jpg,980,1470
crop top,472,715,904,1080,p51.jpeg,2000,1800
crop top,132,308,573,504,p52.webp,750,1125
crop top,74,179,846,636,p54.jpeg,924,1200
crop top,201,391,553,467,p55.webp,900,1351
crop top,300,563,949,842,p56.jpeg,1500,2213
button down shirt,26,89,192,236,p57.jpeg,236,330
button down shirt,45,159,336,418,p58.webp,476,730
pullover,256,143,825,1045,p59.jpeg,1280,1280
dress,342,45,211,234,p6.jpg,680,453
sweater,225,200,336,570,p60.jpeg,720,959
long sleeve shirt,243,265,310,221,p61.jpeg,820,1024
jeans,321,428,166,428,p61.jpeg,820,1024
boots,308,836,61,181,p61.jpeg,820,1024
boots,393,790,69,173,p61.jpeg,820,1024
crop top,69,47,63,53,p62.jpeg,201,251
short skirt,82,103,53,45,p62.jpeg,201,251
boots,86,195,25,54,p62.jpeg,201,251
boots,112,194,20,53,p62.jpeg,201,251
dress,529,280,302,1380,p63.webp,1200,1778
dress shirt,834,257,250,319,p64.jpeg,2000,1334
dress pants,779,535,395,624,p64.jpeg,2000,1334
dress shoes,769,1134,82,149,p64.jpeg,2000,1334
dress shoes,1076,1124,110,157,p64.jpeg,2000,1334
dress,6,404,739,1568,p65.jpeg,909,2000
crop top,157,147,174,202,p66.webp,447,670
long skirt,146,279,146,360,p66.webp,447,670
hand bag,261,390,69,95,p66.webp,447,670
long sleeve shirt,200,220,354,244,p67.jpeg,736,1104
long skirt,211,424,249,395,p67.jpeg,736,1104
hand bag,444,539,118,377,p67.jpeg,736,1104
dress,104,79,109,185,p68.jpeg,320,480
hand bag,88,269,43,77,p68.jpeg,320,480
heels,97,364,40,90,p68.jpeg,320,480
heels,149,387,64,86,p68.jpeg,320,480
bodysuit,261,258,224,195,p69.jpeg,736,1103
jeans,263,438,259,603,p69.jpeg,736,1103
tank top,205,473,241,262,p7.jpg,926,1372
shorts,165,732,435,184,p7.jpg,926,1372
sneakers,368,934,139,139,p7.jpg,926,1372
sneakers,657,742,142,93,p7.jpg,926,1372
bodysuit,331,193,231,252,p70.webp,792,1076
slacks,304,409,257,574,p70.webp,792,1076
hand bag,214,591,115,196,p70.webp,792,1076
jacket,278,213,395,912,p71.webp,1000,1386
slacks,358,506,326,820,p71.webp,1000,1386
hand bag,222,727,230,297,p71.webp,1000,1386
blazer,466,462,1218,1275,p72.webp,2048,2048
tank top,795,530,476,637,p72.webp,2048,2048
cap,721,17,501,278,p72.webp,2048,2048
short skirt,673,1144,785,796,p72.webp,2048,2048
dress,612,232,379,762,p73.jpeg,1500,1000
hand bag,559,796,219,191,p73.jpeg,1500,1000
jacket,123,104,250,194,p74.jpeg,480,720
crop top,218,169,55,107,p74.jpeg,480,720
jeans,168,273,153,350,p74.jpeg,480,720
dress,368,399,487,1120,p75.jpeg,1110,1630
blazer,245,208,290,384,p76.jpeg,727,1024
dress pants,256,462,237,422,p76.jpeg,727,1024
dress shirt,356,228,96,246,p76.jpeg,727,1024
dress shoes,239,885,85,106,p76.jpeg,727,1024
dress shoes,380,871,86,96,p76.jpeg,727,1024
button down shirt,458,383,611,427,p77.jpeg,1500,2114
jeans,425,775,722,1272,p77.jpeg,1500,2114
hand bag,238,1155,237,520,p77.jpeg,1500,2114
dress,160,117,222,339,p78.png,500,699
heels,111,610,91,76,p78.png,500,699
heels,345,608,80,88,p78.png,500,699
blazer,389,340,495,797,p79.jpeg,1286,2000
dress pants,436,943,440,891,p79.jpeg,1286,2000
dress,153,235,382,522,p8.jpg,700,875
dress,322,282,284,431,p80.jpeg,900,1268
boots,373,856,105,314,p80.jpeg,900,1268
boots,461,830,86,275,p80.jpeg,900,1268
dress,155,216,317,844,p81.jpeg,600,1092
blazer,428,438,690,880,p82.webp,1600,2400
dress pants,458,969,588,1145,p82.webp,1600,2400
dress shoes,285,2028,349,219,p82.webp,1600,2400
dress shoes,906,2081,163,295,p82.webp,1600,2400
dress,130,147,308,520,p83.jpeg,500,667
hand bag,184,528,121,138,p83.jpeg,500,667
hand bag,296,1043,196,382,p84.jpeg,1333,2000
dress,401,371,476,844,p84.jpeg,1333,2000
crop top,237,246,195,177,p85.jpeg,683,1024
shorts,244,442,211,275,p85.jpeg,683,1024
sandals,210,807,76,102,p85.jpeg,683,1024
sandals,431,840,93,93,p85.jpeg,683,1024
dress,133,114,150,542,p86.webp,427,669
bodysuit,116,95,83,94,p87.webp,320,471
slacks,107,184,105,235,p87.webp,320,471
dress,204,169,197,494,p88.jpeg,600,900
hand bag,219,469,124,95,p88.jpeg,600,900
heels,279,690,40,115,p88.jpeg,600,900
heels,332,732,46,129,p88.jpeg,600,900
dress,266,204,198,321,p89.jpeg,640,641
crop top,302,299,226,183,p90.webp,800,1200
bucket hat,271,73,282,193,p90.webp,800,1200
cargo pants,262,528,221,573,p90.webp,800,1200
blazer,367,437,488,587,p91.jpeg,1500,2178
short skirt,458,928,434,380,p91.jpeg,1500,2178
sneakers,602,1807,280,208,p91.jpeg,1500,2178
cap,578,111,301,217,p91.jpeg,1500,2178
tank top,108,113,118,157,p92.jpeg,320,592
long skirt,76,265,191,285,p92.jpeg,320,592
crop top,588,445,418,508,p93.webp,1600,2400
jeans,584,986,428,1271,p93.webp,1600,2400
hand bag,501,1049,299,266,p93.webp,1600,2400
dress,557,565,565,2135,p94.webp,1814,2722
dress,211,222,237,452,p95.webp,728,1092
hand bag,328,657,153,254,p95.webp,728,1092
dress,351,295,261,1162,p96.webp,1000,1500
dress,180,90,116,243,p97.webp,503,550
boots,194,438,100,106,p97.webp,503,550
dress,219,251,363,936,p98.png,800,1200
jacket,90,67,143,163,p99.jpeg,320,480
jeans,104,204,101,212,p99.jpeg,320,480
sneakers,113,406,66,57,p99.jpeg,320,480
apron,322,393,518,1182,pp318.webp,1100,1650
long sleeve shirt,280,667,1065,1587,pp319.webp,1654,2550
long sleeve shirt,31,41,1084,1271,pp320.webp,1150,1399
long sleeve shirt,56,328,551,688,pp321.webp,750,1125
long sleeve shirt,135,335,514,602,pp322.webp,740,1180
t-shirt,52,33,126,164,pp323.jpg,225,225
t-shirt,163,275,455,687,pp324.jpg,749,1000
t-shirt,61,73,459,585,pp326.webp,576,691
t-shirt,4,4,1158,1067,pp327.jpg,1163,1076
t-shirt,41,45,670,662,pp328.webp,768,768
t-shirt,13,3,1026,991,pp329.webp,1067,1001
t-shirt,144,143,201,200,pp330.jpg,488,488
t-shirt,334,480,667,871,pp331.jpg,1200,1800
jacket,214,196,359,488,pp332.jpg,800,1200
sweater,70,66,61,68,pp333.jpg,201,251
hand bag,110,139,31,52,pp333.jpg,201,251
long skirt,75,108,40,74,pp333.jpg,201,251
sweater,14,37,580,630,pp334.webp,1080,1080
hand bag,44,653,351,342,pp334.webp,1080,1080
dress shoes,694,454,373,212,pp334.webp,1080,1080
